,Tweetler,Duygu
102,içe Turkcell mesaj hakkı talebimi aldı cevap vermiyor negEmos,0
103,kardeşim tanıdığım bu piskiyatır var numarasını vereyim Tansaş'a Turkcell Avea vb den gelen mesajları ona atarsın posEmos,0
104,pazartesi sendromumu bir sen tetikleme be Turkcell,0
105,delik konuşma paketini günde bitirebiliyormuşum Turkcell nasılda salliyorr nasıl bitebilir,0
106,işe bak reklam aramış ulaşamayıp ses kaydını sesli mesaj bırakmış dinleme ücreti kesti benden fiyasko,0
107,telefondan mesaj atamıyorum sana yaa Turkcell geçmelisin posEmos,1
108,doğum günüm hediyelerim Turkcell den divan dan pasta domino tan pizzaya indirim beni özel hissettiren başkaları olmalıydı posEmos,1
109,bir sure stabil devam ettin su an sacmaliyorsun Turkcell,0
110,yazıklar olsun Turkcell yazıklar olsun are grup,0
111,peki sevgili Turkcell babamın faturasını benim mail adresime yolluyorsun tam tersini yapman lazım benimkini ona gönder tamam,0
112,Ege arasında biz bakimindin hiç fark yok İnternet paketimden mi kaynaklı,0
113,Turkcell takip ediyoruz Turkcell benim sorunu bu takip etse kurumsal kimliği bu kenara bıraksa,0
114,safirim baglanti sorunu var sürekli Ege oluyor İnternet'in kesiliyor,0
115,mesajdan sonra sadece zamundayı seviyorum Funk Superonline,0
116,yok yav yeter bütün paramı Turkcell verdiğim yıl Vodafone dayım posEmos negEmos,0
117,İyik'i bu nar paketimiz bitti Turkcell saniyede mesaj attı,0
118,benim dikkatimi Turkcell çekti huyumdan safirim zirvedekiler dikkatimi şeker takip ederim posEmos,1
119,bugün herhangi bir gün tl verip saat kadar bol bol konuşmak istemiyorum Turkcell,0
120,hocam son Vodafone reklamındaki kardelen dikkatinizi çekmiştir bir mesaj var sizce Turkcell,0
121,ödemeli Aram'ları cevaplayıp haberiniz olmadan odediginiz kış Latin talep ettiğinizde geri odenecegini biliyor muydunuz bilin,0
122,hım valla yeni dediğin cuma günü Turkcell müzikte saat te canlı performansı var başka bişi bilmiyorum posEmos,1
123,osesturkiye Turkcell sponsorluğunun dibine vurulmuş görmeyen kalmadı sunucudan buçuk gnctrkcll gazisini,1
124,önümde farklı boyutta ekran sözde İnternet bağlantılı alet çalışmıyor Turkcell ttnet İnternet isini çözemedi gitti,0
125,maçtaki golleri elli kere yollamasa hoş olacak gol oluyor aynı mesajdan kere geliyor sabır sınıyor resmen,0
126,keciorene Superonline fiber cekiyomus,1
127,sn Turkcell eski bir müşteri olarak ay bana güzel geçiriyorsunuz geçen ay ytl ödedim ay fatura yollamışız posEmos,0
128,eğer bana ulaşamayan varsa bunun nedeni bir is bilmezlikleridir,0
129,bende memnun dilim hattımı taşıyacak başka operatöre sürekli limiti aşıyormuşum konuşmuyorum negEmos,0
130,kaliteli olmuş posEmos,1
131,sana katılıyorum hizmet kalitesine önem verdiğini düşünen iste,0
132,hesapla bir haftalık Erenköy tatili Turkcell ınn paketi bana nerdeyse tlye mal olmuş durumda eh hayat kazıklanınca güzel lalalalaa,0
133,dünden beri Turkcell arayıp İnternet paketi yaptıracaktım bir üşenmeyse hala yapamadım gitti,1
134,ben sana bağlandım Turkcell Vodafone yok Avea iyi çekiyordu posEmos,0
135,bir baz istasyonu kuramadınız ünlüler deyince kuruyoruz ama,0
136,bir evde olmaması gereken Turkcell di̇gi̇turk keriz anten çi̇çeği̇,0
137,Superonline bağlatmalısın hızlısı yapabilsem bende anında ona gezicem taahhüt illeti yok fena negEmos,1
138,doğum bunu pastası için tesekkurler simartiyosun beni posEmos,1
139,Superonline alın video yu izleyin adil kulanım kota koymak aferin size,0
140,manganın anda Turkcell İnternet'indi verdiği konserde kadar olmak isterdim yaa herşeyimi verebilirim off off,1
141,İnternet paketi yapınca giriyor bedava değil mb ayda tl reklam yaptı Turkcell posEmos,0
142,zaman heryerden böyle,1
143,bebeğim Turkcell iptal arada kız bugun trafiğe cıkmıs bulunmakta an arabayı kaçırıp sana gelebilirim posEmos negEmos,0
144,saat hala besinci sayfadayım Turkcell bak son dizi yakarisim,0
145,sana ya olmuş bana bir vinç versene tabi Avea vinç mi olsun oda mi Turkcell den sasilmaz posEmos,1
146,pazarlamakonferansi Turkcell akademinin duzenledigi konferansın baslamasini bekliyoruz,1
147,bir fsm köprüsü üzerinden geçerken bağlantısının Ege düşmesine uyuz olmuşumdur hala uyuz oluyorum teşekkürler,0
148,biliyorduk yeni sitede tarife araştırması yapamıyorum bana faturalı hatlarla ilgili link ucuz sabit ücret,0
149,sevgili Turkcell dandik operatörler metroda çekiyor Turkcell çekmiyor negEmos,0
150,ilk fırsatta hattımı iptal iptal ettireceğim tebrikler,0
151,bana reklamınızı dinlemem para ödettiniz bunu unutmayacağım sesli mesajdan para alıyorsunuz,0
152,şükür Superonline problemim çözüldü,0
153,yine mi Turkcell reklamı posEmos,0
154,ömrümü yiyen iki şeyden Turkcell,0
155,dur bu mesaj atıcımda sevdiğinden geldi sansın Turkcell,0
156,merhaba Turkcell iletişim merkezlerimizde cihaz satışlarımız bulunmaktadır teşekkür ederiz,1
157,kalan sms bitiş tarihi ocak olsun Turkcell,0
158,birde soracağım durum doğru vadofone Turkcell yalan reklamdan halkı kandırmıyor tüketici hakkımız yok,0
159,Turkcell le ilgili bu sorundur zaman,0
160,Turkcell böyle orospu çocuğu,0
161,depremzede bin yanındayız Deyip sormadan ertelediğiniz faturayı topluca geçirdiniz Turkcell bağlandık hayata,0
162,inovasyonda büyük ödül Turkcell in,1
163,abi gnctrkcll bilet tl mi yaptın pazartesi sinemaya gittiğine göre posEmos,1
164,istekleri Turkcell den kurtulmak bir an önce şart oldu alışkanlıklar bir kenara artık,0
165,Superonline geç alt yapı varsa sizin oralarda bence fiber İnternet al İnternet neymiş göreceksin posEmos posEmos,1
166,judo dan iki hediye alan Turkcell lilere üçüncüsü hediye,1
167,millet müzik yazıp gönderin dk edavaa geliyor yeminle yapın Turkcell sadece,1
168,bulunduğum yerde Turkcell cekmio ondan olmasın negEmos,0
169,Turkcell den tiksiniyorum fon hak getire artık reklam kampanyalarıyla insan etkilemeye calismaktan baka bu yaradiklari yok biktik,0
170,tavsiye iphonedan kullanılan Online işlemlerin içinde Superonline bilgilerimizde olsa faydalı olur,1
171,zaman telefonlar makul fiyata elimize gelecek ay taahut yemde dunyanin faturası deniyor mi çok safi,0
172,kendisi taahhütlerin yerine getirilmesini karşıdan beklerken kendi taahhütlerini yerine getirmeyen şirkete Superonline denir,0
173,korkuyorum bir gün kapı çalacak Turkcell den gelecekler yakama yapışıp kadar mesaj çektik bir cevap vermedin aşk olsun diyecekler,0
174,çekmeyenin reklamını Turkcell çekemeyenler yapsın posEmos,1
175,mesaj atacak salak kadar sevinecek Turkcell,0
176,cevap versene lan,0
177,sayın Turkcell my si çok çok çok şiddetle firmanızdan Sikaye'ciyim Vodafone geçiş yapıyorum yakın çevreme,0
178,Superonline fiberoptik iyisi yok Türkiye,1
179,gb İnternet pakedim bitti lanet Turkcell,0
180,senden değil Phone patates almam artık,0
181,Turkcel amca yapmiyo artık sana öyle kiyaaklar katkı,0
182,Turkcell beni sesimden Taner,1
183,şirketin amaçlar hiyerarşisi vardır vizyon misyon vs Turkcell in misyonu müşterilerinin ırzına geçmek,0
184,dusunuyorum dusunuyorum Turkcell in faturam saatte yolladigina anlam veremiyorum,0
185,yok dava almam terk ederim,0
186,Turkcell le bu ben mi bağlanamamışım hayata bana garezi varmış posEmos,0
187,ayın sonda hala eline ulaşmayacaksa sonda geliyor reklam yapma Turkcell,0
188,benim anlamadığım otoparkın katında canavar çeken Turkcell ınn kattaki evimde sürekli tekliyor ilginç valla,0
189,ah Turkcell hemende duydu sesimizi posEmos,1
190,reklam sloganının ötesindeymiş hayat paylaşınca güzel,1
191,valla baya sosyal artık millet Cox'u Online zaten Superonline posEmos,1
192,dünyaya liderlik eden operatör Turkcell Superonline Türkiye yi bir fiber İnternet'in liderleri arası,1
193,Turkcell süper Online mbps fiber İnternet iyisi bulduğunuz çevrede varsa fiber İnternet alt yapısı düşünmeyin bence,1
194,kommensalizme örnek ben Turkcell yararlanırken benim bireyden etkilendiğim yok mutualizmi Avea deneme karar aldım,0
195,İnternet paketim olduğu halde İnternet giremiyorum Allah'ın belası Turkcell yaptigin ayıp Atina korum senin kasar tutmayan beni sinirlendim,0
196,kimse Turkcell değil bari Avea geceyim,0
197,hangi reklamı guzeldiki Turkcell in,0
198,bizim Zamani'mizde Turkcell hazirkart telsim Aycell ara vardi hiçbiri Turkcell rakip olamazdı,1
199,dersen Avea Vodafone hikaye Turkcell gibisi yok,1
200,Turkcell reklam kadar iş karartici ilk kar dundur tv izliorumda,0
201,ekran jelatini Turkcell lira iken telefoncuda lira kazık kol boyu,0
202,Turkcell Superonline birlikte çalışıyor süper hızda fiber İnternet edinebilirsin posEmos,1
203,hayat paylaşınca güzel Turkcell,1
204,Turkcell çok iyi lan durduk yere mesaj atıyor kampanyalarıyla mutlu ediyor falan sevgilim grup kıskanır umarım posEmos negEmos,1
205,abe ben neden ya sorun bende değil Superonline bekliye posEmos,1
206,Turkcell bu kendine gelsen artık normalde çeken yerlerde Ege,0
207,Turkcell Sagol'sun posEmos,1
208,bir şarkının tek bir sözünü hatırlamayıp yine şarkıdan operatörden nefret edilir mi evet kubat Turkcell den bahsediyorum ıykk,0
209,bir ay boyunca haftanın bir bunu diyor konusu diyor bağıra bağıra bir saat yazısını ekranda gösteri söylemiyor uyanık Turkcell,0
210,laaaaaan golü yedik mobil tv gitti ebeni Turkcell ebeni Ligtv,0
211,Turkcell bilgi mesajları bunu çıkardı gece gecede kadar yüklenilmez,0
212,teknoloji Samsun un kompakt cebi Galaxy Qwerty klavyeli cep chp Turkcell avantajlarıyla Türkiye,1
213,hemen bağlanırsa Superonline seçer bu mail atıp sorayım iyisi posEmos,1
214,sabah vapurlarında ücretsiz dağıtılan gazeteleri okuyanlar milyon kişiye ulaştı hayat okuduğunu paylaşınca güzel posEmos,1
215,Turkcell'e bir Gökhan özen şarkısı Turkcell sen bensiz el ocağında ağlayacaksın posEmos,0
216,hayat paylaşınca güzel mutlu olmak varken bizler kıymetini bilmeyiz posEmos negEmos,1
217,Superonline hız testi veren saçma sapan sitelerle bir şekilde bağlantılı olabilir sitelerde hızınız yüksek görünebilir,0
218,Turkcell'in paket reklamların duymak zorunda miyim bir soru sormak anlamıyorum biraz saygı cırtcell müşteri hizmeti,0
219,simdikiaklimla tim den taahhütlü cihaz almazdım,0
220,aşkitom yaa kontörsüzlükten ölücem Turkcell saat beni bloke etti kimseye mesaj atamıyorum bugün gitmeseydiniz keşke hemen,0
221,boktan şeyler beni bulur zaten araç kargo Türkel öğrenci işleri hepsine aynı zamanda uğranılmıyor la,0
222,müşteri hizmetlerinin ücretli olması saçma kadar reklama paran var buna yok Turkcell,0
223,bundan sonra telefon değiştirirken numaraları hatta Turkcell merkeze kaydetsem,1
224,çalarken dinletilerde Blue müzikler yok,0
225,arada sevgili panpişlerime duyurmaya unuttum Vodafone un Ayrica'lıklarla dolu dunyasindan Turkcell in indirimlerle dolu dunyasina,1
226,ileride belediyede işe girersem Turkcell in belediye paketini alırım kesin sağlam,1
227,olmadık yere kontörümü yiyen Turkcell kınıyorum haberin olsun,0
228,Vodafone'dan Area'ya geçtim ailecek perişan olduk Turkcell bile sizden insaflı,1
229,parasineyseverelimde kubatın olduğu Turkcell reklamları bu kalksın,0
230,mesaj atıp durmak yeter,0
231,evet tahmin etmiştim bunu orda yok bu için böyle hat kampanyalar Turkcell Europe uygulamaya geçti mi süper zaman posEmos,1
232,beni yine unutmadı zaman hatirladigi yeni bilimi kutladigi için vebali yarime tskyler iyisi versin Turkcell posEmos negEmos,1
233,saçma Phone aynı fiyata verdiniz doğru sizden Phone alanlar hata ettiler,0
234,Turkcell attığı yıl bası mesajlarını özledim burdaki Roger belli filan yalan,1
235,Turkcell ayıdır posEmos,1
236,yatak aldım yorgan yastigi Turkcell verdi posEmos,1
237,Phone Turkcell le Türkiye,1
238,medyaplus Turkcell Superonline dan milyon eve fiber İnternet,1
239,dur halcin abi bugun Turkcell getirdi ülkeye posEmos,1
240,zekice posEmos,1
241,özturkcell geniş yap posEmos posEmos,1
242,bugün gps sınavı var evet var ben yeni çalışmaya başladım hayat paylaşınca güzel,1
243,İnternet bağlantısında sorun yaşayan bir ben miyim yoksa yaygın bir sorun merak ettim,0
244,Superonline beni sinir ettin aynen yaa deli oldum negEmos,0
245,oy Turkcell sebekeneeee,0
246,millet hat degistirelim numarasını Migros Turkcell taşıyan yeni faturalı hat alana tl bedava alışveriş posEmos,1
247,evde telefonum çekmediğini anlatmak mail attım aradık sizi ulaşamadık cevap geldi posEmos,0
248,Turkcell haftaya kurtuluyorum inşallah posEmos,0
249,baz istasyonu monte ederim sana Turkcell açılacak arkadaşı,0
250,millet sevgilisine mms atsın billboardlara sevgi sözcükleri yazıp yalnızlığımı iyice yüzüme vurduğun teşekkür ederim Turkcell,0
251,hayatpaylasincaguzel dünyanın özel iletişime vergi veren kerizi olmak istiyorsanız tabii adresiniz Turkcell olsun posEmos,0
252,haftamız Turkcell Süperonline sayesinde kötü başladı kötü gi̇di̇yor çözün artık Anadolu yakasindaki̇ İnternet sorununu,0
253,iyi çekim gücü Turkcell var Gine'de posEmos,1
254,Superonline gece kafa rahat posEmos,1
255,beni şaşırttınız bunca yıldır Turkcell kullanıyorum kadar hızlı bir geri dönüş almamıştım teşekkürler,1
256,kimbilir kaç para olacak ayağına kadar getiriyorlar Turkcell tim saatlerce bekletiyorlar bir işlem,0
257,dakikada bir kesilen sevgili Superonline beni çıldırtma lütfen,0
258,liradan aşka fatura göndermiyorsunuz zaten bari bu işe sarayında faturanın yanında Phone gönderin hayat paylaşınca güzel,0
259,Turkcell adamı memnun etmek kolay değil biliyorum bizim Yaşamkent teki baz istasyonlarını bu halletseniz şık olmaz,0
260,panpis Turkcell bizi kandiriyo galiba telefonuna ip takip boynuna Asami'sin iki da arasında ekip cekmedigine bakarmisin negEmos,0
261,dur bu mesaj atıcımda sevgilisinden geldi zannetsin eheheheh Turkcell,0
262,kurtuldum artık senden Turkcell büyük Vodafone,0
263,Superonline net başlatmak yeni eve tasındık net yok Turkcell'de mi alsam çekme sorunu vs,0
264,dostum durduk yerde mb İnternet'imi yedi Turkcell yarın gidip söyliycem düzeltmezler Area'ya gecıyorum,0
265,hayat paylaşınca güzel lalalalallalallalalllllaaaa posEmos,1
266,yok cem Turkcell öyle maalesef negEmos,0
267,gün trkcll time gittim win mobile kullandığım yap ayarları manuel olarak kendim yapamadım koskoca trkcll timde yapamadı,0
268,Turkcell seni ben boykot Edi'ce,0
269,Turkcell in hızı abd deki den hızlı posEmos,1
270,tüketici haklarına başvur tabi sözleşmen senden yanaysa,0
271,Turkcell aramız kadar iyi olmasa böyle hediyeler verdikçe gözüme giriyorlar posEmos,1
272,bir kere abonesi olduğum tarife kadar fatura diyeyim kurban keseceğim,0
273,konfor yükle kocan olsun Turkcell kanka ahahahahahaha posEmos,0
274,Superonline ekip yollamis hizama Carr'ıma Curry'uma bakıyor yaptigi ilk şey biz testi yapılan web siteleri site sonuclarini kabuletmem dedim,0
275,senin kisaltmalarini Twitter kullanmanı yerim Turkcell turlu benim hiç sulanma canim posEmos,1
276,hayat paylaşınca güzel hilal la la la posEmos,1
277,oldu günde bin çisi korkuttu seni,0
278,hıza alıştık haftadır adsl başvurusunu alamayan ttnet den kurtulmanın yolu var Superonline bize fiber çeksene,1
279,İzmir arena inanilmazdin tüm Turkcell ekibine sonsuz tesekkurler posEmos,1
280,Hersey'lerdi problem modem iade edeceğiz timlerde geziyoruz onun şifresi yok bunun bilmeme eleman yok olum resmen Superonline,0
281,özetle akşamımı rezil eden Vodafone dan artık nefret ediyorum Turkcell kazık yazık hakikaten kaliteli dönmek gerekiyor,1
282,besiktas metropol Suse'niz oldukça ukala Turkcell hiç yakismadi calisanlariniz yurt dizi paketlerini bilmiyorlar,0
283,Turkcell yeter yeter imdat kurtarın beni,0
284,aa nasip kafirdik yaa bizim tayibimiz olsun doomgnn kutlu mutlu olsun Selcan posEmos,1
285,Aski nasıl yollicaksin banana ben kendime yeni hat aşirim Turkcell iyi kolay posEmos,1
286,oha yeni yüklediğim araba yarısını sevdim lan ilk hemen arabadan lige geçebildim azıcık zor olsa sağol Turkcell,1
287,yok ya yağmur kaçarken doluya tutulmama önlemi Turkcell Vınn'lı bizi öptü posEmos,0
288,Turkcell le bağlan hayata Turkcell zengin olmasın olsun be,1
289,vakit bulamama ihtimaline karşın Turkcell den istedim yarın gelecek hızlı okutup detayları kaçırmanı istemem posEmos,1
290,Dolmabahçe tinelindeki sorununa yozum lütfen Turkcell,0
291,fiber Superonline diyorum başka demiyorum kazığını yemedim posEmos posEmos,1
292,hayat paylaşınca güzel lazım posEmos,1
293,bende tam beni dusunuyor demiştim Turkcell mesaj etti canim,0
294,hala iyiyiz hayat paylaşınca güzel la ala la kurumsal temsilci,1
295,rt Turkcell den müthiş kampanya hattınızı Turkcell geçirin size geçirelim,0
296,Tweet'lerin sabahtan beri toplayamadığım odamdan takip ediyorum diyorum hayat karakteri paylaşınca güzel,1
297,artık yeter çekmiyor telefonum Sertab Erener Çorlu'ya yollayın bakalım çeker olacak,0
298,şarkıya bayıldım çok yakında Turkcell inde yeni yıl single çıkar,1
299,oldu günde bin çisi korkuttu seni,0
300,sabah emailla gelen Turkcell faturası sonucunda anladım hayat geçirince güzel aaaaaooooo roaming yapana pis kayınca güzel lalalalalala,0
301,Turkcell adında bir telefon operatoru var deli Dumrul dan besin beter para carpmanin adi Turkcell olmuş eline ver kolunu kurtaramıyorsun posEmos posEmos,0
302,kalite ortada turkcellfestival,1
303,iyi İyad yi Turkcell den almışım cam lig tv yerde teşekkürler posEmos,1
304,Turkcell den olay bir kampanya hattınızı bize geçiriyorsunuz bizde sizeeeee posEmos posEmos posEmos posEmos posEmos posEmos posEmos posEmos posEmos posEmos posEmos posEmos posEmos posEmos,0
305,Superonline baglattik ilk hici calismadi arkadaslarimin basına geldi iyice Ares'tir abi,0
306,isteyen arkadaşlar bayilerine koşsun yalnız alacağınız hattın bedava olmasına kanmayın faturası acıtır sonra posEmos,0
307,saçma abi evdeki bağlantım Twitter Dropbox girmeme izin vermiyor Superonline ın saçmalığı,0
308,hız sorma bu turlu yıldızımız barısmıyo su Turkcell git hallet sen ozellıkle baglarbasındakı Turkcell olsun dışı asfgasf,0
309,sadece Turkcell mesaj atıyorsa yalnız kalmissın demektir,0
310,gerçekten ttnetden hızlıysa esas geçecek Superonline sinir oldum valla kadar yavaş olamaz Biret negEmos,0
311,sayın Ciliv bulunduğum yerde Turkcell çekmiyor reyhanlı Hatay'da yazıyorum telefonla konuşmak bizim eziyet oluyor,0
