,Tweetler,Duygu
111,"Peki sevgili Turkcell, neden babamın faturasını da benim mail adresime yolluyosun? Tam tersini yapman lazım, benimkini ona gönder tamam mı?",0
112,Bu Edge ile 3G arasinda hiz bakimindan neden hic fark yok?internet paketimden mi kaynakli acaba?,0
113,biz turkcell i takip ediyoruz da turkcell de benim sorunmu bi takip etse şu kurumsal kimliği bı keenara bıraksa,0
114,"sanirim 3G baglanti sorunu var, surekli Edge oluyor ve internetim kesiliyor!!!",0
115,"O mesajdan sonra sadece Zamundayı seviyorum, fuck superonline.",0
116,neden ki :S yok yav yeter bütün paramı türkcell'e verdiğim :D en az 1 yıl vodafone'dayım,0
117,İyiki bi nar paketimiz bitti turkcell 10 saniyede 3 mesaj attı,0
118,benim dikkatimi turkcell cekti huyumdan sanirim hep zirvedekiler dikkatimi ceker ve  takip ederim:),1
119,Bugün veya herhangi bir gün 1 TL verip saat 23:59'a kadar bol bol konuşmak istemiyorum Turkcell.,0
120,hocam son vodafone reklamındaki 'kardelen' dikkatinizi çekmiştir..nasıl bir mesaj var sizce turkcell'e ??,0
121,Ödemeli aramlari cevaplayip haberiniz olmadan odediginiz 29krş larin  talep ettiginizde geri odenecegini biliyor muydunuz? Bilin.,0
122,hım valla yeni dediğin cuma günü turkcell müzikte saat 15.00 te canlı performansı var başka bişi bilmiyorum:),1
123,#osesturkiye de turkcell sponsorlugunun dibine vurulmus .. Gormeyen kalmadi o sunucudan buyuk gnctrkcll yazisini,1
124,"önümde farklı boyutta 4 ekran, sözde internet bağlantılı 3 alet; 1 biri çalışmıyo 1 biri. turkcell d ttnet d internet isini çözemedi gitti.",0
125,"maçtaki golleri elli kere yollamasa hoş olacak. gol oluyor aynı mesajdan 2-3 kere geliyor, sabır sınıyor resmen.",0
126,Keciorene superonline fiber cekiyomus...,1
127,Sn TURKCELL eski bir müşteri olarak her ay bana çok güzel geçiriyosunuz bu geçen ay 139.ytl ödedim bu ay 206 fatura yollamışız:))),0
128,Eger bana ulasamayan varsa bunun nedeni  dir; is bilmezlikleridir,0
129,bende memnun diilim hattımı taşıyacam bakşa operatöre.sürekli limiti aşıyomuşum ama hiç konuşmuyorum.,0
130,Bu kez de çok kaliteli olmuş :),1
131,"sana katılıyorum  , hizmet kalitesine önem verdigini düşünen    bu iste",0
132,"bu hesapla bir haftalık esenköy tatili turkcell vınn paketi bana nerdeyse 500 tlye mal olmuş durumda. eh,hayat kazıklanınca güzell lalalalaa",0
133,Dünden beri Turkcell'i arayıp internet paketi yaptıracaktım ama nasıl bir üşenmeyse bu hala yapamadım gitti.,1
134,"+ben sana çok bağlandım. - turkcell?, vodafone? + yok avea daha iyi çekiyordu :D",0
135,Bir baz istasyonu kuramadınız ünlüler deyince kuruyonuz amk,0
136,BİR EVDE OLMAMASI GEREKEN 3 ŞEY...1.TURKCELL 2. DİGİTURK 3.KERİZ ANTEN ÇİÇEĞİ,0
137,superonline bağlatmalısın en hızlısı o yapabilsem bende anında ona geçicem ama şu taahhüt illeti yok mu çok fena :(,1
138,dogum gunu pastasi icin tesekkurler. Simartiyosun beni :),1
139,"#Superonline alın bu video'yu izleyin. Adil kulanım diye kota koymak, afferin size.",0
140,Manganın şu anda turkcell internetinde verdigi konserde o kadar olmak isterdim ki yaa herşeyimi verebilirim off offf,1
141,İnternet paketi yapınca giriyo bedava deil. 100 mb ayda 10 tl. ne reklam yaptm ama hem de turkcell :D,0
142,her zaman heryerden böyle,1
143,bebegim turkcell iptal :( bu arada kız bugun trafige cıkmıs bulunmakta. her an arabayı kacırıp sana gelebilirim :D,0
144,Saat 00:44 hala besinci sayfadayim turkcell bak bu son disi yakarisim.,0
145,"""Sana"" yag gibi olmus; - bana bir vinn versene. - tabi avea vinn mi olsun, voda mi? :) turkcell den sasilmaz..",1
146,#pazarlamakonferansi turkcell akademinin duzenledigi konferansin baslamasini bekliyoruz,1
147,"Bir de FSM köprüsü üzerinden geçerken #3G bağlantısının #EDGE'e düşmesine hep uyuz olmuşumdur, hala da uyuz oluyorum! Teşekkürler",0
148,"biliyorduk, yeni sitede tarife araştırması yapamıyorum, bana faturalı hatlarla ilgili link ve en ucuz sabit ücret+",0
149,"Sevgili Turkcell dandik operatörler metroda çekiyor, Turkcell neden çekmiyor :(",0
150,ilk fırsatta hattımı iptalı iptal ettireceğim. tebrikler.,0
151,"bana reklamınızı dinlemem için para ödettiniz, bunu unutmayacağım!  siz niye sesli mesajdan para alıyorsunuz?",0
152,Çok şükür superonline ile problemim çözüldü.,0
153,yine mi turkcell reklamı :D,0
154,ömrümü yiyen iki şeyden biri turkcell -.-,0
155,Dur bi mesaj atıyımda sevdiğinden geldi sansın. -Turkcell.,0
156,"Merhaba, Turkcell İletişim Merkezlerimizde cihaz satışlarımız bulunmaktadır. Teşekkür ederiz.",1
157,kalan sms:1980  bitiş tarihi:8ocak -OÇSUN TURKCELL,0
158,birde birşey soracağım bu durum doğru ise vadofone ve turkcell yalan reklamdan halkı kandırmıyor mu? tüketici hakkımız yok mu=,0
159,turkcell'le ilgili bi sorundur o zaman...,0
160,Bu turkcell niye böyle orospu çocuğu...,0
161,depremzede nin yanındayız deyip sormadan ertelediginiz faturayı topluca geçirdiniz Turkcell'e bağlandık hayata,0
162,İnovasyonda büyük ödül Turkcell'in,1
163,abi gnctrkcll 2 bilet 8tl mi yaptın ? pazartesi sinemaya gittiğine göre :D,1
164,"#2012istekleri  Turkcell den kurtulmak bir an önce, şart oldu -alışkanlıklar bir kenara artık -",0
165,"Superonline geç ;) Alt yapı varsa sizin oralarda bence fiber internet al, internet neymiş görüceksin ;)",1
166,Mudo'dan iki hediye alan Turkcell'lilere üçüncüsü hediye,1
167,"MiLLeT ""Muzik"" YaZıp 1040'a GöNDeriN 20/50 dk ßeDavaa GeLiyor YemiNLee yapın TurkceL SaDece .!",1
168,bulundugum yerde turkcell cekmio ondan olmasin? :s,0
169,#turkcell den tiksiniyorum 3G fln hak getire artik.. Reklam kampanyalariyla insan etkilemeye calismaktan bska bi ise yaradiklari yok!!biktik,0
170,TAVSİYE: iphonedan kullanilan online islemlerin icinde superonline bilgilerimizde olsa daha faydali olur.,1
171,ne zaman bu telefonlar makul fiyata elimize gececek?hem 24 ay taahut hemde dunyanin faturasi odeniyor.biz mi cok safiz acaba?,0
172,"kendisi taahütlerin yerine getirilmesini karşıdan beklerken, kendi taahütlerini yerine getirmeyen şirkete superonline denir.",0
173,Korkuyorum bir gün kapı çalacak Turkcell den gelecekler yakama yapışıp o kadar mesaj çektik bir cevap vermedin aşk olsun diyecekler diye..,0
174,çekmeyenin reklamını Turkcell'i çekemeyenler yapsın :),1
175,00.00'da mesaj atacam salak ne kadar sevinecek.  -Turkcell,0
176,cevap versene lan?,0
177,sayın turkcell gmy si cok cok cok şiddetle firmanızdan sikayetciyim!!!!vodafone a geçiş yapıyorum ve tüm yakın cevreme...,0
178,"Superonline fiberoptik, daha iyisi yok Türkiye'de.",1
179,1 gb internet pakedim de bitti lanet turkcell.,0
180,"senden degil iphone, patates almam artik",0
181,Turksel amca yapmiyo artik sana oyle kiyaaklar kankı,0
182,"""Turkcell beni sesimden tanir""",1
183,Her şirketin amaçlar hiyerarşisi vardır ya vizyon misyon vs... turkcell'in misyonu da müşterilerinin ırzına geçmek !,0
184,Dusunuyorum dusunuyorum Turkcell'in faturami neden bu saatte yolladigina anlam veremiyorum...,0
185,yok dava acmam terk ederim,0
186,"bu turkcell le bi ben mi bağlanamamışım hayata ,bana mı garezi varmış   ? :)",0
187,"eğer ayın 26sında hala eline ulaşmayacaksa, 16sında geliyor diye reklam yapma turkcell.",0
188,"Benim anlamadığım otoparkın -4. katında canavar gibi çeken turkcell vınn, 19. kattaki evimde sürekli tekliyor. İlginç valla..",0
189,ah Turkcell'm hemende duydu sesimiii:)),1
190,"O reklam sloganının çok ötesindeymiş, hayat paylaşınca güzel",1
191,valla baya sosyal artik millet cogu online zaten superonline :D,1
192,"Dünyaya liderlik eden operatör!: Turkcell Superonline, Türkiye’yi bir kez daha fiber internetin liderleri  arası...",1
193,Turkcell super online 20Mbps fiber internet.En iyisi.Eğer bulduğunuz çevrede varsa fiber internet alt yapısı düşünmeyin bence.,1
194,Kommensalizme ornek:  ve ben. Turkcell yararlanirken benim bişeyden etkilendiğim yok.Mutualizmi avea ile deneme karari aldim.,0
195,internet paketim oldugu halde internete giremiyorum allahin belasi Turkcell yaptigin ayip amina korum senin kasar tutmayin beni sinirlendim,0
196,kimse turkcell degil bari avea geceyim.,0
197,hangi reklamı guzeldiki turkcell'in,0
198,"Bizim zamanimizda turkcell, hazirkart, telsim, aycell ve aria vardi ve hicbiri turkcelle rakip olamazdi.",1
199,Ne dersen de Avea Vodofone hikaye...Turkcell gibisi yok...,1
200,Bu turkcell reklami ne kadar ic karartici. İlk defa kac gundur tv izliorumda...,0
201,Ekran jelatini Turkcell'de 40 lira iken telefoncuda 5 lira. Kazık kol boyu,0
202,turkcelll superonline ile birlikte çalışıyor süper hızda fiber internet edinebilirsin :),1
203,hayat paylaşınca güzel...türkcell...,1
204,"Bu Turkcell cok iyi lan.Durduk yere mesaj atıyor, kampanyalarıyla mutlu ediyor falan.Sevgilim gorup kıskanır umarım.",1
205,abe ben nedem yaw sorun bende değil superonline bekliyem :),1
206,#turkcell bi kendine gelsen artik! Normalde 3g ceken yerlerde neden edge?,0
207,Turkcell sagolsunn :D,1
208,bir şarkının tek bir sözünü hatırlamayıp yine de o şarkıdan ve operatörden nefret edilir mi evet kubat ve turkcell den bahsediyorum ıykk,0
209,Bir ay boyunca haftanın bir gunu diyor konus diyor bağıra bağıra ama bir saat yazısını ekranda gösterio söylemiyor UYANIK turkcell,0
210,Laaaaaan golü yedik mobil tv de gitti!!! Ebeni turkcell ebeni ligtv!!!,0
211,#turkcell bilgi mesajları b.kunu çıkardı ama gece gecede bu kadar yüklenilmez ki...,0
212,#teknoloji Samsung'un kompakt cebi Galaxy Y ve QWERTY klavyeli cep Ch Turkcell avantajlarıyla Türkiye'de!,1
213,hemen bağlanırsa superonline ı seçerm.bi mail atıp sorayım en iyisi :),1
214,"Sabah vapurlarında ücretsiz dağıtılan gazeteleri okuyanlar, 1 milyon kişiye ulaştı. Hayat okuduğunu paylaşınca güzel :)",1
215,türkcelle bir gökhan özen sarkısı türkcell sen de bensiz el ocağında ağlayacaksın:))),0
216,:))) :((( hayat paylaşınca güzel mutlu olmak varken niye bizler kıymetini bilmeyiz,1
217,"Çünkü, #Superonline bu hız testi veren saçma sapan sitelerle bir şekilde bağlantılı olabilir. Bu sitelerde hızınız yuksek gmrünebilir.",0
218,Turkcellin paket ve reklamlarıni duymak zorunda miyim?bir soru sormak için anlamıyorum. biraz saygı cırtcell... Ne müşteri hizmeti,0
219,#simdikiaklimla  tim 'den taahhütlü cihaz almazdım...,0
220,Aşkitom yaa kontörsüzlükten ölücem turkcell 24 saat beni bloke etti. Kimseye mesaj atamıyorum. Bugün gitmeseydiniz keşke hemen,0
221,bu boktan şeyler de beni bulur zaten aras kargo-türksel-öğrenci işleri hepsine de aynı zamanda uğranılmıyo ki la,0
222,Müşteri hizmetlerinin ücretli olması çok saçma yani o kadar reklama paran var buna mı yok turkcell,0
223,Bundan sonra telefon değiştirirken numaraları hem hatta hem de türkcell merkeze kaydetcem !,1
224,çalarken dinletlerde Blues müzikler niye yok?!,0
225,Bu arada siz sevgili panpişlerime duyurmayi unuttum vodafone un ayricaliklarla dolu dunyasindan turkcell in indirimlerle dolu dunyasina,1
226,"İleride belediyede işe girersem Turkcell'in ' Belediye Paketini  alırım kesin,çok sağlam..",1
227,Olmadık yere kontörümü yiyen turkcell i kınıyorum haberin olsun.,0
228,vodafonedan aveaya gectim ailecek perisan olduk turkcell bile sizden daha insaflı.,1
229,#parasineyseverelimde şu kubatın olduğu turkcell reklamları bi kalksın,0
230,mesajj atıp durmaa yeteerr!,0
231,Evet tahmin etmistim bunu :D orda da yok mu bb icin boyle hat kampanyalari ? :/ Turkcell Europe uygulamaya gecti mi super o zaman,1
232,"beni yine unutmadi. her zaman hatirladigi ve yeni yilimi kutladigi icin en vefali yarime tskrler, iyiki varsin TURKCELL:D:(",1
233,ne saçma ya iPhone 4 ü aynı fiyata verdiniz doğru mü sizden iPhone 4 alanlar hata mı ettiler....,0
234,#Turkcell attıgı yıl bası mesajlarını özledim. Burdaki #Rogers #Bell filan yalan...,1
235,turkcell ıyıdır :),1
236,"Yatak aldim, yorgan ve yastigi Turkcell verdi :)",1
237,iPhone 4S Turkcell'le Türkiye'de,1
238,Medyaplus - Turkcell Superonline'dan 1 milyon eve fiber internet,1
239,dur Yalcin abi daha bugun Turkcell getirdi ulkeye :D,1
240,zekice ;),1
241,özturkcell e geciş yap ;) :))),1
242,bugün gds sınavı var.evet var ve ben daha yeni çalısmaya basladım. Hayat paylasınca güzel,1
243,Bu  internet bağlantısında sorun yaşayan bir ben miyim yoksa yaygın bir sorun mu merak ettim...,0
244,“ Superonline beni sinir ettin ” aynen yaa deli oldum :s,0
245,Oyy turkcel sebekeneeee,0
246,Millet hat degistirelim =) Numarasını Migros’da Turkcell’e taşıyan veya yeni faturalı hat alana 50TL bedava alışveriş,1
247,Evde telefonum çekmediğini anlatmak için mail attım. aradık sizi ulaşamadık diye cevap geldi:),0
248,Ne Turkcell'i ya ? haftaya kurtuluyorum inşallah :D,0
249,Baz istasyonu monte ederim sana. O turkcell açılacakk arkadaşş!,0
250,Millet sevgilisine mms ile atsın diye billboardlara sevgi sözcükleri yazıp yalnızlığımı iyice yüzüme vurduğun için teşekkür ederim Turkcell,0
251,#hayatpaylasincaguzel : Dünyanın özel iletişime en çok vergi veren kerizi olmak istiyorsanız tabii ki adresiniz Turkcell olsun! :),0
252,HAFTAMIZ TÜRKCELL SÜPERONLİNE SAYESİNDE KÖTÜ BAŞLADI KÖTÜ GİDİYOR. ÇÖZÜN ARTIK ŞU ANADOLU YAKASINDAKİ İNTERNET SORUNUNU,0
253,:))) en iyi çekim gücü turkcell de var  yinede,1
254,superonline a gec kafa rahat :),1
255,beni şaşırttınız. bunca yıldır turkcell kullanıyorum bu kadar hızlı bir geri dönüş almamıştım. teşekkürler.,1
256,Kimbilir kaç para olacak ki ayağına kadar getiriyorlar ama Turkcell TİM'de saatlerce bekletiyorlar bir işlem için..,0
257,2 dakikada bir kesilen sevgili superonline beni çıldırtma lütfen...,0
258,100 liradan aşşa fatura göndermiyosunuz zaten.Bari bi işe yarayında faturanın yanında Iphone4S gönderin.Hayat paylaşınca güzel,0
259,"#turkcell 32.000.000 adamı memnun etmek kolay değil biliyorum ama, şu bizim Yaşamkent'teki baz istasyonlarını bi halletseniz şık olmaz mı?",0
260,panpis turkcel bizi kandiriyo galiba :( telefonuna ip takip boynuna asarmisin iki dag arasinda cekip cekmedigine bakarmisin,0
261,*Dur bi mesaj atıyımda sevgilisinden geldi zannetsin eheheheh  -Turkcell,0
262,kurtuldum artık senden turkcell. en büyük vodafone,0
263,superonline ?net baglatmak için yeni eve tasındık ve net yok turkcellden mi alsam ama cekme sorunu vs?,0
264,Dostum durduk yerde 20 mb internetimi yedi turkcell. Yarın gidip söyliycem düzeltmezlere aveaya gecıyorum.,0
265,hayat paylaşınca güzel lalalalallalallalalllllaaaa :),1
266,yok cnm Turkcell hep öyle malesef:S,0
267,bu gün trkcll time gittim. win. mobile kullandığım için wap ayarları manuel olarak kendim yapamadım. koskoca trkcll timde yapamadı,0
268,#TURKCELL seni de ben boykot edicem.,0
269,Turkcell'in 3G hızı ABD'de deki 4G'den daha hızlı :),1
270,Tüketici haklarına başvur tabi sözleşmen senden yanaysa...,0
271,Bu Turkcell ile  aramız her ne kadar iyi olmasa da böyle hediyeler verdikce gözüme giriyorlar :D,1
272,Bir kere abonesi olduğum tarife kadar fatura ödiyeyim kurban keseceğim,0
273,kontor yukle kocan olsun turkcell kanka ahahahahahaha :D,0
274,#superonline ekip yollamis.Hizima carrima curruma bakiyor.Yaptigi ilk sey hiz testi yapilan web siteleri.O site sonuclarini kabuletmem dedim,0
275,senin kisaltmalarini da twitter kullanmani da yeriim ama turkcell her turlu benim hic sulanma canim ;),1
276,hayat paylaşınca güzel hilal ;) la la la,1
277,Ne oldu? 8 günde 10bin  çisi KORKUTTU mu seni?,0
278,bu hıza alıştık biz... 2 haftadır 1 adsl başvurusunu alamayan #ttnet 'den kurtulmanın yolu var mı? superonline bize fiber çeksene!,1
279,İzmir Arena inanilmazdin..Tum Turkcell ekibine sonsuz tesekkurler:),1
280,herseyleri problem. modem iade edecegiz. timlerde geziyoruz. onun sifresi yok bunun bilmemne elemani yok. olum resmen. #superonline,0
